City,State,Latitude,Longitude
Delhi,Delhi,28.6139391,77.2090212
Kolkata,Kolkata,22.572646,88.363895
Mumbai,Mumbai,19.0759837,72.8776559
Hyderabad,Hyderabad,17.384934,78.486616
Bengaluru,Bengaluru Urban,12.9715987,77.5945627
Chennai,Chennai,13.0826802,80.2707184
Ahmedabad,Ahmedabad,23.022505,72.5713621
Surat,Surat,21.1702401,72.8310607
Pune,Pune,18.5204303,73.8567437
Jaipur,Jaipur,26.9124336,75.7872709
Kanpur,Kanpur,26.447965,80.330572
Lucknow,Lucknow,26.8466937,80.946166
Nagpur,Nagpur,21.1458004,79.0881546
Ghaziabad,Ghaziabad,28.6691565,77.4537578
Indore,Indore,22.7195687,75.8577258
Coimbatore,Coimbatore,11.0168445,76.9558321
Patna,Patna,25.5940947,85.1375645
Visakhapatnam,Visakhapatnam,17.6868159,83.2184815
Bhopal,Bhopal,23.2599333,77.412615
Nashik,Nashik,19.9974533,73.7898023
Pimpri-Chinchwad,Pune,18.62354,73.807873
Agra,Agra,27.1766701,78.0080745
Vadodara,Vadodara,22.3071588,73.1812187
Ludhiana,Ludhiana,30.900965,75.8572758
Madurai,Madurai,9.9252007,78.1197754
Varanasi,Varanasi,25.3176452,82.9739144
Meerut,Meerut,28.9844618,77.7064137
Faridabad,Faridabad,28.4089123,77.3177894
Jamshedpur,East Singhbhum,22.8045665,86.2028754
Rajkot,Rajkot,22.3038945,70.8021599
Jabalpur,Jabalpur,23.181467,79.9864071
Asansol,Bardhaman,23.6739452,86.9523954
Allahabad,Allahabad,25.4358011,81.846311
Dhanbad,Dhanbad,23.7956531,86.4303859
Srinagar,Srinagar,34.081413,74.807591
Aurangabad,Aurangabad,19.8761653,75.3433139
Jodhpur,Jodhpur,26.2389469,73.0243094
Amritsar,Amritsar,31.6339793,74.8722642
Ranchi,Ranchi,23.349649,85.334521
Gwalior,Gwalior,26.2182871,78.1828308
Chandigarh,Chandigarh,30.7399738,76.7567368
Vijayawada,Krishna,16.5061743,80.6480153
Tiruchirappalli,Tiruchirappalli,10.7904833,78.7046725
Raipur,Raipur,21.2513844,81.6296413
Kota,Kota,25.2138156,75.8647527
Bareilly,Bareilly,28.3670355,79.4304381
Guwahati,Kamrup,26.1445169,91.7362365
Tirupur,Tiruppur,11.1085242,77.3410656
Thiruvananthapuram,Thiruvananthapuram,8.5241391,76.9366376
Solapur,Solapur,17.6599188,75.9063906
Hubli,Dharwad,15.3647083,75.1239547
Salem,Salem,11.664325,78.1460142
Aligarh,Aligarh,27.8973944,78.0880129
Gurgaon,Gurgaon,28.4594965,77.0266383
Durg,Durg,21.1904494,81.2849169
Moradabad,Moradabad,28.8386481,78.7733286
Mysore,Mysuru,12.2958104,76.6393805
Bhubaneswar,Khurda,20.295515,85.824797
Jalandhar,Jalandhar,31.3260152,75.5761829
Warangal,Warangal,17.975762,79.601212
Guntur,Guntur,16.3066525,80.4365402
Dehradun,Dehradun,30.3164945,78.0321918
Bhiwandi,Thane,19.2812547,73.0482912
Saharanpur,Saharanpur,29.967079,77.5510172
Siliguri,Darjeeling; Jalpaiguri,26.7083818,88.4268741
Gorakhpur,Gorakhpur,26.7605545,83.3731675
Cuttack,Cuttack,20.462521,85.8829895
Pondicherry,Pondicherry,11.9138598,79.8144722
Amravati,Amravati,20.9374238,77.7795513
Bikaner,Bikaner,28.0229348,73.3119159
Faizabad,Faizabad,26.7732476,82.1441643
Kochi,Ernakulam,9.9312328,76.2673041
Firozabad,Firozabad,27.1591006,78.3957574
Bhavnagar,Bhavnagar,21.768064,72.147388
Durgapur,Bardhaman,23.5204443,87.3119227
Bokaro Steel City,Bokaro,23.6692956,86.151112
Naya Raipur,Raipur,21.1649932,81.7753055
Rourkela,Sundargarh,22.260423,84.8535844
Ajmer,Ajmer,26.4498954,74.6399163
Nanded,Nanded,19.1382514,77.3209555
Kolhapur,Kolhapur,16.7049873,74.2432527
Jhansi,Jhansi,25.4484257,78.5684594
Gulbarga,Kalburgi,17.329731,76.8342957
Agartala,West Tripura,23.831457,91.2867777
Erode,Erode,11.3410364,77.7171642
Ujjain,Ujjain,23.1793013,75.7849097
Sangli-Miraj-Kupwad,Sangli,16.8541887,74.6049061
Jammu,Jammu,32.726601,74.857031
Nellore,Nellore,14.4425987,79.986456
Mangalore,South Canara,12.9141417,74.8559568
Tirunelveli,Tirunelveli,8.7139126,77.7566523
Muzaffarnagar,Muzaffarnagar,29.4726817,77.7085091
Belgaum,Belagavi,15.8496953,74.4976741
Vellore,Vellore,12.9165167,79.1324986
Jamnagar,Jamnagar,22.4707019,70.05773
Udaipur,Udaipur,24.595745,73.694395
Gaya,Gaya,24.7954523,84.999431
Jalgaon,Jalgaon,21.0076578,75.5626039
Mathura,Mathura,27.4924134,77.673673
Patiala,Patiala,30.3397809,76.3868797
Panipat,Panipat,29.3909464,76.9635023
Davangere,Davangere,14.4663438,75.9238397
Calicut,Kozhikode,11.2587531,75.78041
Akola,Akola,20.7059345,77.0219019
Kurnool,Kurnool,15.8281257,78.0372792
Rajamahendravaram,East,17.0005383,81.8040345
Latur,Latur,18.4087934,76.5603828
Tuticorin,Thoothukkudi,8.7641661,78.1348361
Bhagalpur,Bhagalpur,25.2414303,86.9924358
Malegaon,Malegaon,20.554554,74.525989
Bellary,Ballari,15.1393932,76.9214428
Ambala,Ambala,30.3781788,76.7766974
Muzaffarpur,Muzaffarpur,26.1208876,85.3647201
Yamunanagar,Yamunanagar,30.1290485,77.2673901
Dhule,Dhule,20.9042201,74.7748979
Dimapur,Dimapur,25.8629885,93.7536663
Tirupati,Chittoor,13.6287557,79.4191795
Rohtak,Rohtak,28.8955152,76.606611
Sagar,Sagar,23.838805,78.7378068
Budaun,Budaun,28.0337088,79.1205419
Korba,Korba,22.3594501,82.7500595
Bhilwara,Bhilwara,25.321377,74.586953
Rampur,Rampur,28.7893041,79.0249516
Shahjahanpur,Shahjahanpur,27.883744,79.9122455
Berhampur,Ganjam,19.314914,84.794244
Ahmednagar,Ahmednagar,19.0952075,74.7495916
Kollam,Kollam,8.8932118,76.6141396
Bardhaman,Bardhaman,23.2324214,87.8614793
Kadapa,Kadapa,14.4673541,78.8241339
Alwar,Alwar,27.5529907,76.6345735
Bilaspur,Bilaspur,22.0796251,82.1391412
Nandurbar,Nandurbar,21.3755507,74.2427644
Bijapur,Vijayapur,16.8301708,75.710031
Ichalkaranji,Kolhapur,16.7090008,74.4560807
Thrissur,Thrissur,10.5276416,76.2144349
Chandrapur,Chandrapur,19.9704597,79.3014845
Malda,Malda,25.0108408,88.1410967
Shimoga,Shivamogga,13.9299299,75.568101
Junagadh,Junagadh,21.522184,70.4578768
Farrukhabad,Farrukhabad,27.3826126,79.5940544
Kakinada,East,16.9890648,82.2474648
Nizamabad,Nizamabad,18.673421,78.092593
Purnia,Purnia,25.7771391,87.4752551
Haridwar,Haridwar,29.9456906,78.1642478
Hisar,Hisar,29.1491875,75.7216527
Darbhanga,Darbhanga,26.111868,85.896004
Tumkur,Tumakuru,13.345018,77.101945
Baharampur,Murshidabad,24.164895,88.274906
Habra,North 24 Parganas,22.8488542,88.6639591
Jalpaiguri,Jalpaiguri,26.5434772,88.7205256
Karnal,Karnal,29.6856929,76.9904825
Ozhukarai,Pondicherry,11.94888,79.712141
Bihar Sharif,Nalanda,25.1982147,85.5148735
Kharagpur,Paschim Medinipur,22.34601,87.2319753
Aizawl,Aizwal,23.727107,92.7176389
Sonipat,Sonipat,28.9287735,77.091281
Gudiyatham,Vellore,12.9447361,78.8709019
Dewas,Dewas,22.9622672,76.0507949
Shantipur,Nadia,23.2645399,88.4380966
Bathinda,Bathinda,30.210994,74.9454745
Jalna,Jalna,19.842614,75.894805
Satna,Satna,24.6005075,80.8322428
Mau,Mau,25.9496379,83.5586445
Roorkee,Haridwar,29.8542626,77.8880002
Ratlam,Ratlam,23.3341696,75.0376325
Parbhani,Parbhani,19.2609958,76.776665
Sambalpur,Sambalpur,21.4668716,83.9811665
Anantapur,Anantapur,14.6818877,77.6005911
Imphal,Imphal West; Imphal East,24.8170111,93.9368439
Rajnandgaon,Rajnandgaon,21.0971034,81.0302222
Hapur,Hapur,28.7305798,77.7758825
Karimnagar,Karimnagar,18.438485,79.128931
Arrah,Bhojpur,25.5560443,84.6603307
Noida,Noida,28.600032,77.351504
Etawah,Etawah,26.784784,79.021451
Haldwani,Nainital,29.2182644,79.5129767
Bharatpur,Bharatpur,27.216981,77.489515
Begusarai,Begusarai,25.416675,86.1293792
Sri Ganganagar,Sri Ganganagar,29.912527,73.875212
Dankuni,Hooghly,22.6808348,88.2929313
Gandhidham,Kutch,23.075297,70.133673
Mirzapur,Mirzapur,25.1336987,82.5644344
Sikar,Sikar,27.6094,75.139911
Katihar,Katihar,25.542424,87.567953
Dhulian,Murshidabad,24.6706654,87.9481846
Ranaghat,Nadia,23.17405,88.5639352
Rewa,Rewa,24.5372927,81.30418
Bulandshahr,Bulandshahr,28.406963,77.8498292
Kannur,Kannur,11.8744775,75.3703662
Raichur,Raichur,16.2120031,77.3439283
Pali,Pali,25.7710893,73.3234478
Ramagundam,Karimnagar,18.762412,79.473362
Silchar,Cachar,24.8332708,92.7789054
Vizianagaram,Vizianagaram,18.1066576,83.3955506
Nagercoil,Kanyakumari,8.1832857,77.4118996
Thanjavur,Thanjavur,10.7869994,79.1378274
Katni,Katni,23.8308453,80.4072255
Sambhal,Sambhal,28.5903614,78.5717631
Singrauli,Singrauli,24.200261,82.663989
Nadiad,Kheda,22.6915853,72.8633635
Eluru,West,16.7106604,81.0952431
Bidar,Bidar,17.9148799,77.5046101
Munger,Munger,25.376505,86.476588
Chhapra,Saran,25.7795649,84.7498886
Burhanpur,Burhanpur,21.3193875,76.2224273
Panchkula,Panchkula,30.6942091,76.860565
Dindigul,Dindigul,10.3673123,77.9802906
Gandhinagar,Gandhinagar,23.2156354,72.6369415
Hospet,Bellary,15.2688542,76.3909241
Bhusawal,Jalgaon,21.0455204,75.8010962
Deoghar,Deoghar,24.4763201,86.6913222
Ongole,Prakasam,15.5057232,80.049922
Puri,Puri,19.8133822,85.8314655
Haldia,Purba Medinipur,22.0666742,88.0698118
Nandyal,Kurnool,15.4785694,78.4830934
Khandwa,Khandwa,21.8257334,76.352571
Morena,Morena,26.4933562,77.9909949
Raiganj,Uttar Dinajpur,25.6185295,88.1255837
Anand,Anand,22.5645175,72.928871
Bhiwani,Bhiwani,28.7990445,76.1335112
Bhind,Bhind,26.5587354,78.7872876
Amroha,Amroha,28.9043537,78.4673426
Hardoi,Hardoi,27.3986345,80.1316927
Vaniyambadi,Vellore,12.6950325,78.6218853
Morbi,Morbi,22.8119895,70.8236195
Fatehpur,Fatehpur,25.9200736,80.8099941
Kasaragod,Kasaragod,12.5102239,74.9851678
Raebareli,Raebareli,26.2345298,81.2408689
Daman,Daman,20.3973736,72.8327991
Orai,Jalaun,26.00864,79.4478858
Chhindwara,Chhindwara,22.057437,78.9381729
Barmer,Barmer,25.7531537,71.4180622
Sitapur,Sitapur,27.561892,80.688511
Bahraich,Bahraich,27.5708377,81.5980246
Phusro,Bokaro,23.7622641,86.0020693
Khammam,Khammam,17.247318,80.151443
Khambhat,Anand,22.316748,72.624144
Sirsa,Sirsa,29.5335931,75.0177029
Modinagar,Ghaziabad,28.8316307,77.5779592
Krishnanagar,Nadia,23.4008744,88.5013962
Guna,Guna,24.6348197,77.2979782
Shivpuri,Shivpuri,25.4357869,77.665066
Unnao,Unnao,26.5393449,80.4878195
Surendranagar,Surendranagar,22.7201319,71.649536
Balasore,Balasore,21.504467,86.922227
Nabadwip,Nadia,23.4036446,88.3676393
Bongaigaon,Bongaigaon,26.5009992,90.5352356
Alappuzha,Alappuzha,9.4980667,76.3388484
Alappuzha,Alappuzha,9.4980667,76.3388484
Cuddalore,Cuddalore,11.744699,79.7680243
Hassan,Hassan,13.0068142,76.0995519
Gadag,Gadag,15.4324651,75.6380337
Shimla,Shimla,31.1048145,77.1734033
Komarapalayam,Namakkal,11.4466642,77.6943353
Bahadurgarh,Jhajjar,28.6924464,76.9239727
Machilipatnam,Krishna,16.1905457,81.1361543
Midnapore,Paschim Medinipur,22.4308892,87.3214908
Bharuch,Bharuch,21.701963,72.99996
Hoshiarpur,Hoshiarpur,31.5143178,75.911483
Jaunpur,Jaunpur,25.7490034,82.6987002
Adoni,Kurnool,15.6322227,77.2728368
Jind,Jind,29.3211153,76.3058328
Udupi,Udupi,13.3371151,74.746596
